"precinct","oblast","places","noplaces","type","size","ukrainian","district14par","registered14par","voted14parl","oppblock14par","porosh14par","r14parl","turnout14parl","registered14pres","voted14pres","turnout14pres","r14pres","Poroshenko","district","registered12","voted12","turnout12","r12","roads","rlon","rlat","quality.ent","quality","quality.UKR","distrussia","Raion","dist_regional","distkiev","donetsk","qualityq"
590934,"Сумська"," СУМИ",1,"city",3,77.44,157,2388,1380,0.0442028985507246,0.269565217391304,11.231884057971,0.577889447236181,2369,1625,0.685943436048966,6.52307692307692,999,157,2420,1440,0.59504132231405,24.8611111111111,82.3258167571412,34.82671,50.909545,0.0308215160057546,42.7358415662607,0.972931804159403,3.42376135899086,"Sums",1.05324624961808,5.73022470371884,387.199932265728,0.11762242439331
590935,"Сумська"," СУМИ",1,"city",3,77.44,157,2008,1086,0.0460405156537753,0.251381215469613,10.2209944751381,0.540836653386454,1997,1291,0.646469704556835,6.50658404337723,785,157,2042,1130,0.553379040156709,19.4690265486726,83.3548511371883,34.82708,50.909419,0.0314371985666856,42.9732764881009,0.972672899758021,3.42423246142775,"Sums",1.06577699582781,5.73030218956608,387.173503098002,0.119695137089217
590936,"Сумська"," СУМИ",1,"city",3,77.44,157,1848,1006,0.0318091451292246,0.257455268389662,9.34393638170974,0.544372294372294,1828,1190,0.650984682713348,7.73109243697479,687,157,1867,1072,0.574183181574719,23.6940298507463,82.8878300427459,34.82662,50.909197,0.0311673367429504,42.9621561359252,0.972592687036549,3.42501894053207,"Sums",1.04939618113495,5.73018721430069,387.171894149389,0.119597360397025
590937,"Сумська"," СУМИ",1,"city",3,77.44,157,2284,1368,0.0402046783625731,0.274853801169591,9.35672514619883,0.598949211908932,2270,1565,0.68942731277533,6.00638977635783,953,157,2301,1369,0.594958713602781,22.2790357925493,84.1522310128415,34.826702,50.908042,0.0312105717697939,43.9829058385211,0.971319345097027,3.42919573912201,"Sums",1.05096303473187,5.73014901548635,387.063451652011,0.12886400213227
590938,"Сумська"," СУМИ",1,"city",3,77.44,157,2112,1226,0.0522022838499184,0.287928221859706,9.54323001631321,0.580492424242424,2096,1443,0.688454198473282,6.23700623700624,923,157,2100,1266,0.602857142857143,22.6698262243286,83.3465020814862,34.826617,50.90796,0.0311767995304479,43.9667996348203,0.971259480231061,3.42948823614597,"Sums",1.04795686915605,5.73012576253986,387.059426788967,0.128713148240459
590939,"Сумська"," СУМИ",1,"city",3,77.44,157,2100,1160,0.0293103448275862,0.276724137931035,6.98275862068965,0.552380952380952,2078,1419,0.682868142444658,5.42635658914729,886,157,2037,1178,0.578301423662248,18.1663837011885,97.1354978862562,34.813275,50.908154,0.0247603722450093,38.5148136553651,0.974636957381169,3.42877115320687,"Sums",0.417511576008732,5.72711237755394,387.617557638925,0.0856855054758907
590940,"Сумська"," СУМИ",1,"city",3,77.44,157,2452,1207,0.0364540182270091,0.289975144987572,7.37365368682684,0.492251223491028,2406,1520,0.631753948462178,5.19736842105263,966,157,2362,1239,0.524555461473328,17.6755447941889,80.3653201690492,34.817857,50.903649,0.0266219295593503,40.8233671487746,0.968583037094107,3.44479506254539,"Sums",0.701513849815533,5.72793064688356,387.022260716345,0.102037776503667
590947,"Сумська"," СУМИ",1,"city",3,77.44,157,2216,829,0.0482509047044632,0.253317249698432,12.183353437877,0.374097472924188,2090,982,0.469856459330144,8.14663951120163,611,157,1345,806,0.599256505576208,29.6526054590571,95.4257610315612,34.810714,50.911513,0.0279019428223424,37.8428520603189,0.978740909221866,3.41668712316353,"Sums",0.275941454501573,5.72669812428053,388.026710020234,0.0813919960991848
590948,"Сумська"," СУМИ",1,"city",2,77.44,157,1276,740,0.0527027027027027,0.289189189189189,12.2972972972973,0.579937304075235,1259,826,0.656076250992851,5.69007263922518,516,157,1263,742,0.587490102929533,23.5849056603774,89.8380282721362,34.812124,50.912977,0.0285515750441809,38.7573018321663,0.980152453345198,3.41126283948952,"Sums",0.404395754294191,5.72709124042289,388.102615984647,0.0872846590296923
590949,"Сумська"," СУМИ",1,"city",3,77.44,157,1680,1024,0.021484375,0.2626953125,7.2265625,0.60952380952381,1704,1198,0.703051643192488,5.34223706176962,765,157,1702,1076,0.63219741480611,20.3531598513011,80.3699529078617,34.814942,50.917664,0.0346789567398696,43.2484686811039,0.984443746577118,3.39380632086419,"Sums",0.671346571775904,5.72796598583856,388.414800235396,0.12213686935889
590950,"Сумська"," СУМИ",1,"city",3,77.44,157,1564,797,0.0326223337515684,0.257214554579674,8.78293601003764,0.509590792838875,1551,969,0.624758220502901,4.95356037151703,592,157,1565,854,0.545686900958467,23.4192037470726,68.1597403500959,34.819389,50.9224,0.0305937828392956,42.6255528311601,0.987512988782951,3.37588591849822,"Sums",0.950539708738703,5.72921342427087,388.666255015616,0.116670271920838
590951,"Сумська"," СУМИ",1,"city",3,77.44,157,1864,946,0.0274841437632135,0.248414376321353,7.08245243128964,0.507510729613734,1844,1205,0.653470715835141,5.14522821576764,736,157,1841,987,0.536121673003802,21.3779128672746,54.4886545158522,34.832664,50.930876,0.0264503652540953,40.5929214015396,0.986883101598171,3.34364517583639,"Sums",1.42587236614894,5.73264608129839,388.904801653061,0.100288658274833
590952,"Сумська"," СУМИ",1,"city",3,77.44,157,1996,837,0.019115890083632,0.272401433691756,3.9426523297491,0.419338677354709,1987,1119,0.563160543532964,3.1277926720286,715,157,1992,926,0.464859437751004,15.7667386609071,51.3355442185715,34.831208,50.940926,0.0263884860546233,40.6719125705046,0.989238121671646,3.30326166800065,"Sums",1.54554548518155,5.73284473678206,389.881353636824,0.100885191652128
590953,"Сумська"," СУМИ",1,"city",3,77.44,157,1928,905,0.0143646408839779,0.271823204419889,4.64088397790055,0.469398340248963,1899,1110,0.584518167456556,3.69369369369369,665,157,1900,961,0.505789473684211,18.1061394380853,51.4069677778512,34.830935,50.941027,0.0265174454583671,40.7461263651098,0.989382790178873,3.30282719831446,"Sums",1.54297524519093,5.73278864169846,389.901523631285,0.101448514917017
590954,"Сумська"," СУМИ",1,"city",3,77.44,157,2172,1242,0.0466988727858293,0.260064412238325,12.8019323671498,0.57182320441989,2166,1384,0.638965835641736,8.16473988439306,818,157,2232,1309,0.586469534050179,26.7379679144385,82.2314649336793,34.806785,50.917523,0.0406090441055603,45.2941530887957,0.985401925368415,3.39474627299986,"Sums",0.270931144385245,5.72610912004923,388.732301631295,0.141658565644204
590955,"Сумська"," СУМИ",1,"city",3,77.44,157,1956,1211,0.0396366639141206,0.292320396366639,9.57886044591247,0.619120654396728,1928,1362,0.70643153526971,7.26872246696035,904,157,1840,1141,0.620108695652174,23.1375985977213,74.4041299935332,34.809505,50.919278,0.0417364696907441,46.2197333084572,0.986883812219604,3.38799405029666,"Sums",0.48562445827,5.72681551043475,388.781689299308,0.151315851523323
590956,"Сумська"," СУМИ",1,"city",3,77.44,157,2292,1209,0.0289495450785773,0.261373035566584,9.42928039702233,0.527486910994764,2297,1496,0.651284283848498,7.48663101604278,945,157,2354,1340,0.569243840271878,23.955223880597,75.5325441475444,34.809581,50.918792,0.0410196338464875,46.0209792568345,0.98640648044228,3.389813865594,"Sums",0.467744284239456,5.72680800209855,388.734409457747,0.149197497794576
